order_id,combination_registration_no,case_name,decision_date,provision,penalty_43a,penalty_44,penalty_45,total_penalty,penalty_source_page,penalty_source_text,conduct_type,transaction_type,sector,notification_issue,gun_jumping_type,voluntary_disclosure,cooperation,mitigating_factors,aggravating_factors,source_url,pdf_url,include_default,is_outlier,verified,notes
CCI-1114,C-2015/12/349,Schulke & Mayr GmbH,2017-01-13,43A,2500000.0,,,2500000.0,15.0,"COMPETITION COMMISSION OF INDIA Fair Competition For Greater Good C-2015/12/349 Page 15 of 15 PUBLIC Commission considered it appropriate to impose a penalty of INR 25,00,000/- (INR twenty- five lakhs only) on the Acquirer, which is well within the limits as prescribed under the Act. 12. The Acquirer shall pay the penalty",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1114/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/1652764031.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1135,C-2015/08/299,Hindustan Colas Private Ltd,2016-09-14,43A,500000.0,,,500000.0,11.0,"nd that the Acquirer has cooperated fully with the Commission. In view of the foregoing, the Commission considered it appropriate to impose a nominal penalty of INR 5,00,000/- (INR Five Lakhs only) on the Acquirer, which is approximately 0.0009 percent of the combined value of turnover of the Parties. The Acquirer shall p",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1135/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/1652774146.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1112,C-2015/09/313,"1. Diasys Diagnostics Systems GmbH, Germany, 2. DiaSys Diagnostics India Private Ltd",2016-08-31,43A,200000.0,,,200000.0,9.0,"rdingly while considering the totality of factors and applying the principles of proportionality, the Commission considers it appropriate to impose a penalty of INR 2,00,000/- (INR two lakh only) on the Acquirers, which is approximately 0.0001 per cent of the combined value of worldwide assets of the parties to the combin",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1112/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/1652763656.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1115,C-2016/02/373,Clariant Chemicals India Ltd,2016-08-16,43A,100000.0,,,100000.0,6.0,"s omission and sought lenient view and pleaded for no penalty. In view of the foregoing, the Commission considered it appropriate to impose a nominal penalty of INR 1,00,000/- (INR One Lakh only) on the Acquirer, which is approximately 0.00002 percent of the combined value of assets of the Parties. The Acquirer shall pay",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1115/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/1652764643.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-480,C-2015/12/347,SRF Ltd,2016-08-16,43A,1000000.0,,,1000000.0,9.0,"ing the quantum of penalty. In view of the foregoing, applying the principles of proportionality, the Commission considers it appropriate to impose a penalty of INR 1,000,000/- (INR one million only) on the Acquirer, which is approximately 0.00003 per cent of the combined value of worldwide assets of the Parties. 15. The A",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/480/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/1652420789.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1104,C-2015/03/257,Sundaram Finance Ltd,2016-07-14,43A,,,,,,,,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1104/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/160720161652855349.pdf,True,False,False,"Auto-extracted by ingestion pipeline on 2026-09-01; unverified. ISSUES: no 'penalty of INR/Rs. ...' figure (numeral or word-form) and no explicit 'decides not to impose any penalty' statement found - could not determine the penalty outcome, left blank for manual review | extraction_failed: PDF has little/no extractable text - may be scanned; OCR not implemented"
CCI-1131,C-2015/07/289,Eli Lilly and Company,2016-07-14,43A,10000000.0,,,10000000.0,13.0,"ng the quantum of penalty. In view of the foregoing, applying the principles of proportionality, the Commission considered it appropriate to impose a penalty of INR 1,00,00,000/- (INR one crore only) on the Acquirer, which is approximately 0.00009 per cent of the combined value of worldwide assets of the Parties. 19. The Acq",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1131/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/1652769546.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1103,C-2015/02/249,Piramal Enterprises Ltd,2016-05-02,43A,50000000.0,,,50000000.0,10.0,"ated the combination which may be considered as an aggravating factor. In view of the foregoing, the Commission considered it appropriate to impose a penalty of INR 5 Crore (INR 5,00,00,000/- only) on the Acquirer, which is approximately 0.005% of the combined value of the worldwide assets of the combination. 11. The Acquirer is directed",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1103/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/1652706133.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1108,C-2015/07/297,Baxalta Incorporated,2016-03-08,43A,10000000.0,,,10000000.0,10.0,"es themselves approached the Commission for a pre-filing consultation. In view of the foregoing, the Commission considered it appropriate to impose a penalty of INR 1,00,00,000/- (INR one crore only) on the Acquirer, which is approximately 0.0005 per cent of the combined value of worldwide assets of the Parties. The Acquirer",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1108/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/1652763195.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1100,C-2015/01/241,"General Electric Company, 2. GE Industrial France SAS, 3. GE Energy Europe B.V",2016-02-16,43A,50000000.0,,,50000000.0,12.0,"t consummated by the Acquirers without the approval of the Commission. In view of the foregoing, the Commission considered it appropriate to impose a penalty of INR 5,00,00,000/- (INR five crore only) on the Acquirers, which is approximately 0.0001 per cent of the combined value of worldwide assets of the Parties. The Acquir",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1100/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/1652705744.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1106,C-2015/06/283,"1. Johnson and Johnson Innovation, Inc., 2. Ethicon Endo-surgery, Inc., 3. Google Inc.",2015-12-30,43A,500000.0,,,500000.0,5.0,"oluntarily filed the notice with the Commission before giving effect to the combination, the Commission considered it appropriate to impose a nominal penalty of INR 5,00,000/- (INR Five Lakhs only) on the Parties. The Parties shall pay the penalty within sixty (60) days from the date of receipt of this order. 9. The Secre",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1106/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/1652706735.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1098,C-2014/05/175,"1. SCM Soilfert Ltd., 2. Deepak Fertilizers and Petrochemicals Corporation Ltd.",2015-02-10,43A,20000000.0,,,20000000.0,10.0,"he requisite information, and given the quantum of turnover of the Proposed Combination, the Commission considered it appropriate to impose a nominal penalty of INR Two Crores (INR 2,00,00,000 only) on the Acquirers. The Acquirers shall pay the penalty within sixty (60) days from the date of receipt of this order. 12. The Secretary is direc",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1098/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/1652705519.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1097,C-2014/03/162,Tesco Overseas Investments Ltd.,2014-05-27,43A,30000000.0,,,30000000.0,7.0,"ce within 30 days of executing the Joint Venture Agreement and Share Purchase Agreement, the Commission considered it appropriate to impose a nominal penalty of INR 3,00,00,000/- (INR Three Crores only) on the Acquirer. The Acquirer shall pay the penalty within sixty (60) days from the date of receipt of this order. 12. The",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1097/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/1652705392.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1133,C-2014/02/153,"1. Thomas Cook (India) Ltd., 2. Thomas Cook Insurance Services (India) Ltd., 3. Sterling Holiday Resorts (India) Ltd.",2014-05-21,43A,10000000.0,,,10000000.0,8.0,"considers it appropriate to impose a relatively nominal penalty on the Parties. Therefore, in exercise of the powers under Section 43A of the Act, a penalty of INR 1,00,00,000 (Rupees one crore) is imposed on the Parties. The parties to the combination shall pay the penalty within 60 days from the date of receipt of this or",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1133/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/1652773889.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1094,C-2013/05/122,Etihad Airways PJSC,2013-12-19,43A,10000000.0,,,10000000.0,11.0,"penalty of INR one crore would serve the ends of the justice. The Commission, therefore, in exercise of powers under Section 43A of the Act imposes a penalty of INR 1,00,00,000 (Rupees one crore) on Etihad as the obligation to give notice to the Commission, as per Regulation 9 of the Competition Commission of India (Procedur",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1094/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/1652704962.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1095,C-2013/06/124,"1. Zulia Investments Pte. Ltd., 2. Kinder Investments Pte.Ltd., 3. Temasek Holdings (Private) Ltd",2013-08-01,43A,5000000.0,,,5000000.0,13.0,"nt to an acquisition of the shareholding of one foreign enterprise by another foreign enterprise, the Commission considers it appropriate to impose a penalty of INR 50,00,000/-(INR Fifty Lakhs only) on the Acquirers. The Acquirers shall COMPETITION COMMISSION OF INDIA Page 13 of 13 pay the penalty within sixty (60) days fr",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1095/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/1652705126.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1093,C-2013/02/109,Titan International Inc.,2013-04-02,43A,10000000.0,,,10000000.0,4.0,"mount of penalty on the Acquirer under the provisions of Section 43A of the Act. Therefore, in exercise of the powers under Section 43A of the Act, a penalty of INR 1,00,00,000/- (INR One Crore only) is imposed on the Acquirer. The Acquirer shall pay the penalty within 60 days from the date of receipt of this order. 11. The",,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1093/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/1652704731.pdf,True,False,False,Auto-extracted by ingestion pipeline on 2026-09-01; unverified.
CCI-1091,C-2012/11/92,"1. Dewan Housing Finance Corporation Ltd, 2. First Blue Home Finance Ltd.",2013-01-03,43A,,,,,,,,,,,,,,,,https://www.cci.gov.in/combination/order/details/order/1091/0/orders-section43a_44,https://www.cci.gov.in/images/caseorders/en/1652704438.pdf,True,False,False,"Auto-extracted by ingestion pipeline on 2026-09-01; unverified. ISSUES: no 'penalty of INR/Rs. ...' figure (numeral or word-form) and no explicit 'decides not to impose any penalty' statement found - could not determine the penalty outcome, left blank for manual review | extraction_failed: PDF has little/no extractable text - may be scanned; OCR not implemented"
